3.1,-21.1,1.5
0.7000000000000001,-17.3,-1.4000000000000001
1.2000000000000002,-19.6,4.800000000000001
-2,-17.8,4.1000000000000005
-3.2,-18.400000000000002,2.8000000000000003
-3.6,-20.700000000000003,0.2
-2.8000000000000003,-23.3,-1
-2.4000000000000004,-24.3,-0.7000000000000001
-1.6,-25.700000000000003,0.2
-0.9,-24.900000000000002,0.4
-0.5,-23.1,0.2
0,-18.1,-0.30000000000000004
0.1,-15.3,-0.2
0.8,-10.200000000000001,0.4
2.3000000000000003,-6.1000000000000005,1.6
3.6,-4.3,2.8000000000000003
6.4,-1.6,5
6.9,0.1,5
6,0.8,4
4,2.3000000000000003,-0.4
4.4,3.1,-6.1000000000000005
4.5,3.1,-7.4
3.6,2.4000000000000004,-5.9
1.1,1.8,-1.2000000000000002
0.4,1.7000000000000002,-0.2
0,1.6,0.1
0,1.4000000000000001,0.1
0.30000000000000004,1.1,0
0.5,0.8,-0.2
0.6000000000000001,0.8,-0.30000000000000004
0.2,0.9,-1.3
-0.1,1,-2.1
-0.1,1,-2.1
0.6000000000000001,0.8,-1.4000000000000001
1.3,0.2,-0.5
1.3,-0.2,-0.4
1,-1.2000000000000002,0
-0.2,-3.1,1.5
-1.8,-5.4,3.9000000000000004
-1.7000000000000002,-18,13.9
8.8,-31.6,15.9
16,-36.6,10.100000000000001
18,-30.200000000000003,-6.6000000000000005
14.200000000000001,-22.5,-16.5
-3.1,-7.800000000000001,-17.5
-8.5,-2.9000000000000004,-10.5
-7.6000000000000005,-4.5,-4.2
-3,-11.200000000000001,4.2
0.9,-19.1,5.7
2.1,-21.900000000000002,5.2
1.6,-22.8,3.4000000000000004
-0.5,-21.6,0.6000000000000001
-1.8,-21.700000000000003,-0.6000000000000001
-2.6,-23.6,-1.9000000000000001
-1.3,-25.400000000000002,-0.7000000000000001
-0.4,-26.1,-0.1
0.4,-25.900000000000002,0
0.7000000000000001,-23,-0.2
0.7000000000000001,-20.6,0
0.8,-15,0.8
0.8,-12.4,1
0.9,-7.300000000000001,1.2000000000000002
1.7000000000000002,-3.5,2.8000000000000003
2.7,-2,3.8000000000000003
4,-0.2,4.7
3.9000000000000004,0.8,3.3000000000000003
3,1,2.3000000000000003
1.4000000000000001,1.7000000000000002,1
0.6000000000000001,2.6,-0.4
0.6000000000000001,2.8000000000000003,-1
0.8,2.8000000000000003,-2.2
0.9,2.4000000000000004,-2.8000000000000003
0.7000000000000001,2.5,-2.8000000000000003
0.5,2.4000000000000004,-2.6
0.5,2.3000000000000003,-2.2
0.4,1.8,-1.3
0.30000000000000004,1.4000000000000001,-0.8
0.30000000000000004,1.3,-0.7000000000000001
0.6000000000000001,1.2000000000000002,-0.7000000000000001
1.4000000000000001,1.2000000000000002,-0.7000000000000001
2.1,1.1,-0.9
3.7,0.7000000000000001,-1.9000000000000001
5.800000000000001,-0.1,-3.3000000000000003
6.1000000000000005,-0.7000000000000001,-3.9000000000000004
4.3,-1.8,-3.5
1.2000000000000002,-2.6,-1.8
0.4,-3,-0.5
1.2000000000000002,-6.4,4
5.7,-12.200000000000001,8.9
17.7,-26.400000000000002,19.5
16.2,-35.800000000000004,16.1
10.700000000000001,-34.1,10.200000000000001
-5.7,-25.3,-7.4
-9.5,-17.5,-17.8
-8.700000000000001,-15.600000000000001,-17.8
-3.6,-15.9,-10.9
1.6,-20.400000000000002,0.5
2.2,-23.400000000000002,2.3000000000000003
1.2000000000000002,-26.5,3.2
0.1,-25.900000000000002,2.7
-0.2,-25.3,2.5
0.5,-25.3,2.3000000000000003
1.9000000000000001,-25.700000000000003,2.7
2.6,-25.6,2.9000000000000004
3.5,-23.1,3.1
3.4000000000000004,-20.900000000000002,3
2.5,-14.9,2.4000000000000004
1.3,-8.9,1.6
0.9,-6,1.3
0.9,-1.9000000000000001,1.1
1.9000000000000001,0.30000000000000004,1.5
2.2,0.8,1.7000000000000002
2.3000000000000003,1.5,1.6
1.6,1.7000000000000002,1
1.6,1.8,0.6000000000000001
2.1,1.9000000000000001,0
2.3000000000000003,2.1,-0.6000000000000001
2.2,2.2,-0.8
1.3,2.3000000000000003,-1
0.9,2.4000000000000004,-1
0.4,2.8000000000000003,-1.1
0,3.3000000000000003,-1.6
-0.30000000000000004,3.4000000000000004,-1.9000000000000001
-0.9,3.4000000000000004,-2.7
-0.6000000000000001,2.9000000000000004,-2.9000000000000004
-0.1,2.7,-2.6
1.2000000000000002,2.3000000000000003,-1.7000000000000002
2.2,1.9000000000000001,-0.9
2.7,1.7000000000000002,-0.6000000000000001
3.3000000000000003,1.2000000000000002,0.1
3.5,0.6000000000000001,0.30000000000000004
3.3000000000000003,0.30000000000000004,0.30000000000000004
2.8000000000000003,-0.2,0.30000000000000004
2.6,-0.6000000000000001,0.2
2.7,-1.7000000000000002,0.1
2.8000000000000003,-3.9000000000000004,0.9
3.5,-15.200000000000001,5.5
7.6000000000000005,-22.400000000000002,9.5
14.200000000000001,-35.6,11.8
13,-37.6,10.4
2.7,-29,1.3
-10.200000000000001,-17.3,-7.7
-12.100000000000001,-13,-10.9
-12.3,-11.9,-11.700000000000001
-11.200000000000001,-13.4,-10
-7.800000000000001,-18.8,-3.5
-4.4,-24.6,-0.30000000000000004
-1.6,-25.8,0.7000000000000001
-0.30000000000000004,-25.3,0.7000000000000001
1.2000000000000002,-23.700000000000003,1.4000000000000001
1.5,-24,1.9000000000000001
1.5,-25.1,2.8000000000000003
1.5,-23.200000000000003,3
1.5,-20.900000000000002,3
1.4000000000000001,-15.200000000000001,2.4000000000000004
0.9,-8.9,1.6
0.6000000000000001,-6.5,1.3
0.4,-2.4000000000000004,0.8
0.7000000000000001,-1.2000000000000002,0.9
2,0.30000000000000004,1.9000000000000001
2.7,1,2.6
2.8000000000000003,1.4000000000000001,2.1
2.9000000000000004,1.4000000000000001,1.6
3,1.6,0.4
3.1,2.1,-0.8
3.6,2.7,-1.5
4.6000000000000005,3.7,-1.9000000000000001
4.6000000000000005,4,-1.6
3.1,4.4,-0.4
1,4.2,-0.6000000000000001
0.4,4,-1.3
-0.1,2.9000000000000004,-2.7
-0.1,1.6,-3.2
0,1,-3.3000000000000003
0.30000000000000004,0.2,-4
0.9,-0.30000000000000004,-4.9
1.4000000000000001,-0.5,-5.300000000000001
1.6,-0.9,-6
0.4,-1.7000000000000002,-5.6000000000000005
0.1,-2,-4.9
0,-2.5,-3.3000000000000003
0.8,-3.1,-2.4000000000000004
3.5,-6.2,1
14.200000000000001,-18.400000000000002,7.2
20.900000000000002,-25.200000000000003,8.5
23.400000000000002,-36.800000000000004,7.2
7.5,-36,-0.30000000000000004
-4.4,-32.2,-5.9
-16.6,-24.200000000000003,-16.2
-13.200000000000001,-18.1,-15.100000000000001
-8.9,-17.6,-10.600000000000001
-1.4000000000000001,-20.1,-0.5
1.2000000000000002,-25,0.8
1.8,-26.3,1.1
2.2,-25.3,1.4000000000000001
1.8,-24.3,1.7000000000000002
2.2,-24,2.1
2.9000000000000004,-23.8,2.1
3.3000000000000003,-23,2.2
3.9000000000000004,-21,2.2
4.1000000000000005,-18.8,2.2
3.9000000000000004,-17.400000000000002,2.1
2.7,-12.200000000000001,1.6
1.2000000000000002,-6.300000000000001,1
0.5,-3.6,0.8
-0.30000000000000004,-0.7000000000000001,0.7000000000000001
0,0.6000000000000001,0.9
0.8,0.8,1.3
4.9,0.8,2.3000000000000003
9.200000000000001,1,2.6
10.3,1.1,2
9.3,1.4000000000000001,0
7.6000000000000005,1.5,-1.1
4.3,1.9000000000000001,-2.3000000000000003
1.6,2.5,-2.9000000000000004
0.9,2.7,-3
-1.4000000000000001,3.3000000000000003,-3.8000000000000003
-4.7,3.8000000000000003,-4.800000000000001
-5.7,3.7,-4.9
-4.9,2.8000000000000003,-3.7
-1.1,1.5,-1.9000000000000001
0.6000000000000001,1.2000000000000002,-1.5
3.4000000000000004,0.8,-1.3
5.7,0.4,-1.5
6.800000000000001,0.1,-2
6,-1,-3.3000000000000003
4.2,-1.6,-3.2
0.1,-2.3000000000000003,-2.6
-0.9,-2.6,-2
0.1,-3.2,-2.6
11.700000000000001,-13.4,-0.1
21.8,-28,2
20.1,-34.7,3.1
1.7000000000000002,-35.9,1.2000000000000002
-13.700000000000001,-26.1,-1.7000000000000002
-16.1,-15.5,-12.600000000000001
-13.200000000000001,-12,-14.5
-7.800000000000001,-9.8,-13.3
-3.4000000000000004,-10.200000000000001,-7.1000000000000005
1.1,-14.100000000000001,1.9000000000000001
1.8,-17,3.9000000000000004
2.3000000000000003,-21.200000000000003,5
1.8,-21.8,2.7
1.1,-21.6,1.3
0.8,-22.6,-0.1
2.8000000000000003,-25.900000000000002,-0.4
3.7,-27.3,-0.30000000000000004
4.5,-27.3,0.7000000000000001
3.8000000000000003,-22.8,1.3
3.2,-19.700000000000003,1.2000000000000002
1.9000000000000001,-13.8,0
0.6000000000000001,-9.3,-0.7000000000000001
0.30000000000000004,-7.6000000000000005,-0.6000000000000001
0,-4.3,-0.1
-0.30000000000000004,-1.5,0.30000000000000004
-0.4,-0.5,0.30000000000000004
-0.30000000000000004,0.6000000000000001,0.4
-0.30000000000000004,1.1,0.6000000000000001
-0.2,1.8,1.5
-0.1,2.2,1.7000000000000002
0,2,1.5
0.6000000000000001,0.9,0.30000000000000004
1.7000000000000002,0.2,-0.2
2.7,0.2,-0.4
3.1,0.30000000000000004,-0.4
3.8000000000000003,0.6000000000000001,-0.5
4.1000000000000005,0.7000000000000001,-0.5
4.3,1,-1
3.5,1.6,-2.4000000000000004
2.9000000000000004,2,-3.4000000000000004
2.1,2.5,-4.9
2.4000000000000004,2.3000000000000003,-5
3.7,1.5,-3.8000000000000003
5.800000000000001,0.4,-2.8000000000000003
6.6000000000000005,-0.2,-2.7
5.800000000000001,-1.5,-2.7
3.2,-2.3000000000000003,-2.3000000000000003
2.2,-2.8000000000000003,-2
2.7,-4.800000000000001,-1.2000000000000002
14.200000000000001,-16.8,7.800000000000001
20.700000000000003,-23.8,11.8
20.3,-35.9,14.100000000000001
4.6000000000000005,-32.4,5.800000000000001
-4.4,-27.5,1.1
-12.8,-18.7,-11.200000000000001
-13.100000000000001,-16.5,-14.8
-9.9,-16.3,-14.9
-1.9000000000000001,-18.2,-3.3000000000000003
0.8,-19,0.6000000000000001
2.7,-20.1,2.9000000000000004
2,-20.3,2.2
1.3,-20.8,1.7000000000000002
0.9,-23.200000000000003,1.2000000000000002
2.2,-25.700000000000003,1.3
3.4000000000000004,-26.5,1.7000000000000002
5.300000000000001,-26.3,2.1
5.9,-24.400000000000002,2.3000000000000003
